"1","There will be no water service in your area on 3rd of November. ","0000-00-00 00:00:00","Indo"
"2","Govt has sanctioned funds for all the farmers. Farmers can collect their funds from the Govt banks. Remember to take your Aadhar card with you.","2015-11-01 06:01:23","Indo"
"3","All fisherman near the catch-man area are advised NOT to go for fishing as their will be heavy rains and high tide in next 24hrs ","2015-11-01 06:01:23","Indo"
"4","There is a free vaccination campaign which will be started by 1am today. Be there ","2015-11-01 10:55:46","Indo"
"5","The goods on the ration card shops will be available now from morning 11 to evening 11.","2015-11-01 11:07:20","Codpur"
"3","123456789","We are facing problems due to unknown type of mites present in out feild. Can you help us with that","2015-11-01 06:58:05","Seed in wheat. You will earn more"
"4","1516146242","We are facing problems due to unknown type of mites present in out feild. Can you help us with that","2015-11-01 07:30:38",
"1","123456789","ed","You can take these medicines","2015-11-01 06:36:01"
"resheil@resheil.com","123456","2015-10-31 10:31:50","2015-10-31 12:55:32","1"
"2","123456789","The village is fully messed up with garbage
","2015-10-31 23:06:23"
"4","123456789","defew","2015-10-31 23:07:04"
"8","123456789","This is my test problem","2015-11-01 01:22:21"
"17","9820105763","Water is dirty in my area","2015-11-01 10:50:52"
"18","9820105763","Water is dirty in my area","2015-11-01 10:52:33"
"19","3525623662","Dirty Water","2015-11-01 10:55:44"
"4","The water in your area from the last week is coming regularly?","Indo","3","2","+123456789+34215216+342152163435+87654321+3525623662","2015-11-01 07:05:20","0","Water samples have been collected from your area and soon after we receive reports we will notify you. Stay tuned! "
"5","The gutters are wide open which pose a risk for my kids going to school. Is it so with you also?","Indo","1","1","++87654321","2015-11-01 10:51:43","0","NGO hve been given the ascess "
"6","I have been facing from problems in finding medicines near by in our locality.","Codpur","0","0",,"2015-11-01 11:10:24","1",
"7","Water is dirty in your area ? Is it so?","Indo","1","0","+9820105763","2015-11-01 15:22:14","0",
"8","Is there water in ur area??","Indo","0","1","+3525623662","2015-11-01 15:27:09","0",
"1","87654321","12345","1"
"12345678","Indo ","2015-11-01 08:23:59"
"123456789","Indo ","2015-10-31 23:14:43"
"315534","Rampur","2015-11-01 06:33:22"
"34215216","Indo ","2015-11-01 03:01:56"
"342152163435","Indo ","2015-11-01 03:05:29"
"3521526","Indo ","2015-10-31 22:40:06"
"3525623662","Indo ","2015-11-01 02:34:15"
"5279187931","Codpur","2015-11-01 06:35:34"
"67676578","Indo ","2015-11-01 06:34:49"
"87654321","Indo ","2015-11-01 08:54:24"
"9820105763","Indo ","2015-11-01 10:49:05"
"982324983215","Codpur","2015-11-01 06:33:12"
"987879","Indo ","2015-11-01 06:35:07"
"1","Indo "
"2","Rampur"
"3","Codpur"
